Tarefa: collectionSpecie | Estagio: 4th | Fold: 4 | Hits@50: 0.5
Tarefa: collectionSpecie | Estagio: 1st | Fold: 5 | Hits@50: 0.5029239766081871
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 5 | Hits@50: 0.525
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 5 | Hits@50: 0.5
Tarefa: collectionSpecie | Estagio: 4th | Fold: 5 | Hits@50: 0.48148148148148145
Tarefa: collectionSpecie | Estagio: 1st | Fold: 7 | Hits@50: 0.5621468926553672
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 7 | Hits@50: 0.5461847389558232
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 7 | Hits@50: 0.5535714285714286
Tarefa: collectionSpecie | Estagio: 4th | Fold: 7 | Hits@50: 0.5357142857142857
Tarefa: collectionSpecie | Estagio: 1st | Fold: 8 | Hits@50: 0.5579710144927535
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 8 | Hits@50: 0.5761316872427983
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 8 | Hits@50: 0.5818181818181818
Tarefa: collectionSpecie | Estagio: 4th | Fold: 8 | Hits@50: 0.5185185185185185
Tarefa: collectionSpecie | Estagio: 1st | Fold: 9 | Hits@50: 0.5413105413105413
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 9 | Hits@50: 0.5975609756097561
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 9 | Hits@50: 0.5535714285714286
Tarefa: collectionSpecie | Estagio: 4th | Fold: 9 | Hits@50: 0.4642857142857143
Tarefa: name | Estagio: 1st | Fold: 0 | Hits@50: 0.32603901611535197
Tarefa: name | Estagio: 2nd | Fold: 0 | Hits@50: 0.3432065217391304
Tarefa: name | Estagio: 3rd | Fold: 0 | Hits@50: 0.2923280423280423
Tarefa: name | Estagio: 4th | Fold: 0 | Hits@50: 0.18548387096774194
Tarefa: name | Estagio: 1st | Fold: 1 | Hits@50: 0.3473221858718042
Tarefa: name | Estagio: 2nd | Fold: 1 | Hits@50: 0.35126811594202895
Tarefa: name | Estagio: 3rd | Fold: 1 | Hits@50: 0.3664021164021164
Tarefa: name | Estagio: 4th | Fold: 1 | Hits@50: 0.23118279569892472
Tarefa: name | Estagio: 1st | Fold: 2 | Hits@50: 0.3043528693528693
Tarefa: name | Estagio: 2nd | Fold: 2 | Hits@50: 0.29236874236874233
Tarefa: name | Estagio: 3rd | Fold: 2 | Hits@50: 0.2174731182795699
Tarefa: name | Estagio: 4th | Fold: 2 | Hits@50: 0.25268817204301075
Tarefa: name | Estagio: 1st | Fold: 3 | Hits@50: 0.29530864197530865
Tarefa: name | Estagio: 2nd | Fold: 3 | Hits@50: 0.2970175438596491
Tarefa: name | Estagio: 3rd | Fold: 3 | Hits@50: 0.30923076923076925
Tarefa: name | Estagio: 4th | Fold: 3 | Hits@50: 0.32828282828282823
Tarefa: name | Estagio: 1st | Fold: 4 | Hits@50: 0.32834595959595964
Tarefa: name | Estagio: 2nd | Fold: 4 | Hits@50: 0.31757246376811593
Tarefa: name | Estagio: 3rd | Fold: 4 | Hits@50: 0.28121693121693125
Tarefa: name | Estagio: 4th | Fold: 4 | Hits@50: 0.2150537634408602
Tarefa: name | Estagio: 1st | Fold: 5 | Hits@50: 0.3295742586440261
Tarefa: name | Estagio: 2nd | Fold: 5 | Hits@50: 0.3352469135802469
Tarefa: name | Estagio: 3rd | Fold: 5 | Hits@50: 0.31612021857923495
Tarefa: name | Estagio: 4th | Fold: 5 | Hits@50: 0.3817204301075268
Tarefa: name | Estagio: 1st | Fold: 6 | Hits@50: 0.2918266272917436
Tarefa: name | Estagio: 2nd | Fold: 6 | Hits@50: 0.28012345679012346
Tarefa: name | Estagio: 3rd | Fold: 6 | Hits@50: 0.2547814207650273
Tarefa: name | Estagio: 4th | Fold: 6 | Hits@50: 0.22580645161290322
Tarefa: name | Estagio: 1st | Fold: 7 | Hits@50: 0.34731758336409496
Tarefa: name | Estagio: 2nd | Fold: 7 | Hits@50: 0.3637037037037037
Tarefa: name | Estagio: 3rd | Fold: 7 | Hits@50: 0.33797814207650273
Tarefa: name | Estagio: 4th | Fold: 7 | Hits@50: 0.3440860215053763
Tarefa: name | Estagio: 1st | Fold: 8 | Hits@50: 0.3470849743406134
Tarefa: name | Estagio: 2nd | Fold: 8 | Hits@50: 0.39278460488137906
Tarefa: name | Estagio: 3rd | Fold: 8 | Hits@50: 0.39417989417989424
Tarefa: name | Estagio: 4th | Fold: 8 | Hits@50: 0.3548387096774194
Tarefa: name | Estagio: 1st | Fold: 9 | Hits@50: 0.3170299145299145
Tarefa: name | Estagio: 2nd | Fold: 9 | Hits@50: 0.3048534798534799
Tarefa: name | Estagio: 3rd | Fold: 9 | Hits@50: 0.34381720430107526
Tarefa: name | Estagio: 4th | Fold: 9 | Hits@50: 0.3709677419354839
Tarefa: collectionSpecie | Estagio: 1st | Fold: 6 | Hits@50: 0.5029239766081871
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7290983606557377
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 6 | Hits@50: 0.5104166666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.7372549019607842
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 6 | Hits@50: 0.4876543209876543
Tarefa: collectionSpecie | Estagio: 4th | Fold: 6 | Hits@50: 0.5308641975308641
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.8045977011494252
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.7643678160919539
